,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
455,2172035,2016-10-07 13:55,,0.0,
456,2172035,2016-10-07 14:00,4.23,0.0,5.04
457,2172035,2016-10-07 14:05,,0.0,
458,2172035,2016-10-07 14:10,,0.0,
459,2172035,2016-10-07 14:15,4.22,0.0,4.91
460,2172035,2016-10-07 14:20,,0.0,
461,2172035,2016-10-07 14:25,,0.0,
462,2172035,2016-10-07 14:30,4.22,0.0,4.91
463,2172035,2016-10-07 14:35,,0.0,
464,2172035,2016-10-07 14:40,,0.0,
465,2172035,2016-10-07 14:45,4.22,0.0,4.91
466,2172035,2016-10-07 14:50,,0.0,
467,2172035,2016-10-07 14:55,,0.0,
468,2172035,2016-10-07 15:00,4.22,0.0,4.91
469,2172035,2016-10-07 15:05,,0.0,
470,2172035,2016-10-07 15:10,,0.01,
471,2172035,2016-10-07 15:15,4.22,0.0,4.91
472,2172035,2016-10-07 15:20,,0.0,
473,2172035,2016-10-07 15:25,,0.0,
474,2172035,2016-10-07 15:30,4.22,0.0,4.91
475,2172035,2016-10-07 15:35,,0.0,
476,2172035,2016-10-07 15:40,,0.0,
477,2172035,2016-10-07 15:45,4.22,0.0,4.91
478,2172035,2016-10-07 15:50,,0.0,
479,2172035,2016-10-07 15:55,,0.0,
480,2172035,2016-10-07 16:00,4.22,0.0,4.91
481,2172035,2016-10-07 16:05,,0.01,
482,2172035,2016-10-07 16:10,,0.0,
483,2172035,2016-10-07 16:15,4.22,0.0,4.91
484,2172035,2016-10-07 16:20,,0.01,
485,2172035,2016-10-07 16:25,,0.02,
486,2172035,2016-10-07 16:30,4.22,0.0,4.91
487,2172035,2016-10-07 16:35,,0.03,
488,2172035,2016-10-07 16:40,,0.01,
489,2172035,2016-10-07 16:45,4.23,0.0,5.04
490,2172035,2016-10-07 16:50,,0.0,
491,2172035,2016-10-07 16:55,,0.0,
492,2172035,2016-10-07 17:00,4.23,0.0,5.04
493,2172035,2016-10-07 17:05,,0.01,
494,2172035,2016-10-07 17:10,,0.0,
495,2172035,2016-10-07 17:15,4.23,0.0,5.04
496,2172035,2016-10-07 17:20,,0.0,
497,2172035,2016-10-07 17:25,,0.01,
498,2172035,2016-10-07 17:30,4.23,0.0,5.04
499,2172035,2016-10-07 17:35,,0.01,
500,2172035,2016-10-07 17:40,,0.0,
501,2172035,2016-10-07 17:45,4.23,0.0,5.04
502,2172035,2016-10-07 17:50,,0.01,
503,2172035,2016-10-07 17:55,,0.0,
504,2172035,2016-10-07 18:00,4.23,0.0,5.04
505,2172035,2016-10-07 18:05,,0.01,
506,2172035,2016-10-07 18:10,,0.0,
507,2172035,2016-10-07 18:15,4.23,0.01,5.04
508,2172035,2016-10-07 18:20,,0.01,
509,2172035,2016-10-07 18:25,,0.01,
510,2172035,2016-10-07 18:30,4.24,0.01,5.18
511,2172035,2016-10-07 18:35,,0.01,
512,2172035,2016-10-07 18:40,,0.0,
513,2172035,2016-10-07 18:45,4.24,0.01,5.18
514,2172035,2016-10-07 18:50,,0.01,
515,2172035,2016-10-07 18:55,,0.09,
516,2172035,2016-10-07 19:00,4.25,0.03,5.31
517,2172035,2016-10-07 19:45,,0.24,
518,2172035,2016-10-07 19:50,,0.04,
519,2172035,2016-10-07 19:55,,0.02,
520,2172035,2016-10-07 20:00,4.31,0.04,6.19
521,2172035,2016-10-07 20:05,,0.04,
522,2172035,2016-10-07 20:10,,0.03,
523,2172035,2016-10-07 20:15,4.33,0.01,6.5
524,2172035,2016-10-07 20:20,,0.02,
525,2172035,2016-10-07 20:25,,0.02,
526,2172035,2016-10-07 20:30,4.35,0.02,6.83
527,2172035,2016-10-07 20:35,,0.02,
528,2172035,2016-10-07 20:40,,0.04,
529,2172035,2016-10-07 20:45,4.37,0.04,7.17
530,2172035,2016-10-07 20:50,,0.08,
531,2172035,2016-10-07 20:55,,0.04,
532,2172035,2016-10-07 21:00,4.41,0.02,7.88
533,2172035,2016-10-07 21:05,,0.06,
534,2172035,2016-10-07 21:10,,0.04,
535,2172035,2016-10-07 21:15,4.45,0.07,8.64
536,2172035,2016-10-07 21:20,,0.03,
537,2172035,2016-10-07 21:25,,0.1,
538,2172035,2016-10-07 21:30,4.54,0.12,10.6
539,2172035,2016-10-07 21:35,,0.03,
540,2172035,2016-10-07 21:40,,0.04,
541,2172035,2016-10-07 21:45,4.64,0.08,13.0
542,2172035,2016-10-07 21:50,,0.08,
543,2172035,2016-10-07 21:55,,0.02,
544,2172035,2016-10-07 22:00,4.77,0.07,16.9
545,2172035,2016-10-07 22:05,,0.14,
546,2172035,2016-10-07 22:10,,0.05,
547,2172035,2016-10-07 22:15,4.93,0.07,22.6
548,2172035,2016-10-07 22:20,,0.09,
549,2172035,2016-10-07 22:25,,0.08,
550,2172035,2016-10-07 22:30,5.07,0.12,28.8
